iata_code,airport_name,city,lat_dec,long_dec
GKN,Gulkana,GULKANA,62.155,-145.45600000000002
SGY,Skagway,SKAGWAY,59.46,-135.316
HOM,Homer,HOMER,59.646,-151.476
ILI,Iliamna,ILIAMNA,59.754,-154.911
UTO,Indian Mountain Lrrs,INDIAN MOUNTAINS,65.993,-153.704
JNU,Juneau International,JUNEAU,58.355,-134.576
AKN,King Salmon,KING SALMON,58.677,-156.649
KTN,Ketchikan International,KETCHIKAN,55.356,-131.714
LUR,Cape Lisburne Lrrs,CAPE LISBURNE,68.875,-166.11
MCG,Mc Grath,MCGRATH,62.953,-155.606
MRI,Merrill Field,ANCHORAGE,61.214,-149.846
ANC,Ted Stevens Anchorage International,ANCHORAGE,61.174,-149.996
ANN,Annette Island,ANNETTE ISLAND,55.042,-131.572
OME,Nome,NOME,64.512,-165.445
ORT,Northway,NORTHWAY,62.961000000000006,-141.929
OTZ,Ralph Wien Memorial,KOTZEBUE,66.884,-162.59799999999998
PML,Platinum,PORT MOLLER,59.011,-161.819
SCC,Deadhorse,DEADHORSE,70.195,-148.465
SIT,Sitka Rocky Gutierrez,SITKA,57.047,-135.361
SNP,St Paul Island,ST. PAUL ISLAND,57.167,-170.22
SVW,Sparrevohn Lrrs,SPARREVOHN,61.097,-155.57399999999998
SYA,Eareckson As,SHEMYA,52.711999999999996,174.114
TAL,Ralph M Calhoun,TANANA,65.17399999999999,-152.109
TNC,Tin City Lrrs,TIN CITY,65.563,-167.922
TKA,Talkeetna,TALKEETNA,62.32,-150.094
TLJ,Tatalina Lrrs,TATALINA,62.894,-155.976
UNK,Unalakleet,UNALAKLEET,63.888000000000005,-160.799
VDZ,Valdez Pioneer Field,VALDEZ,61.13399999999999,-146.248
AIN,Wainwright As,FORT WAINWRIGHT,70.613,-159.86
YAK,Yakutat,YAKUTAT,59.503,-139.66
FYU,Fort Yukon,FORT YUKON,66.571,-145.25
BKH,Barking Sands Pmrf,BARKING SANDS,22.022,-159.787
HDH,Dillingham,DILLINGHAM,21.579,-158.21
HNM,Hana,HANA,20.796,-156.014
JHM,Kapalua,LAHANIA-KAPALUA,20.963,-156.674
KOA,Kona International At Keahole,KONA,19.739,-156.046
LIH,Lihue,LIHUE,21.976,-159.339
MKK,Molokai,MOLOKAI,21.153000000000002,-157.096
MUE,Waimea Kohala,KAMUELA,20.000999999999998,-155.668
NGF,Kaneohe Bay Mcaf,KANEOHE BAY,21.449,-157.768
HNL,Honolulu International,HONOLULU,21.316,-157.92700000000002
LNY,Lanai,LANAI,20.785999999999998,-156.951
OGG,Kahului,KAHULUI,20.899,-156.431
BSF,Bradshaw Aaf,BRADSHAW FIELD,19.76,-155.554
ITO,Hilo International,HILO,19.72,-155.049
UPP,Upolu,OPOLU,20.265,-155.86
OLI,Oliktok Lrrs,OLIKTOK POINT,70.499,-149.879
PIZ,Point Lay Lrrs,POINT LAY,69.733,-163.005
