iata_code,airport_name,latitude_deg,longitude_deg,elevation_ft,city
TYS,McGhee Tyson Airport,35.811,-83.994,981.0,Knoxville
UIN,Quincy Regional Baldwin Field,39.943,-91.195,768.0,Quincy
USA,Concord-Padgett Regional Airport,35.388,-80.709,705.0,Concord
UST,Northeast Florida Regional Airport,29.959,-81.34,10.0,St Augustine
UTM,Tunica Municipal Airport,34.681,-90.347,194.0,Tunica
VCT,Victoria Regional Airport,28.853,-96.919,115.0,Victoria
VEL,Vernal Regional Airport,40.441,-109.51,5278.0,Vernal
VIS,Visalia Municipal Airport,36.319,-119.393,295.0,Visalia
VLD,Valdosta Regional Airport,30.782,-83.277,203.0,Valdosta
VPS,Destin-Ft Walton Beach Airport,30.483,-86.525,87.0,Valparaiso
WRG,Wrangell Airport,56.484,-132.37,49.0,Wrangell
WYS,Yellowstone Airport,44.688,-111.118,6649.0,West Yellowstone
XNA,Northwest Arkansas Regional Airport,36.282,-94.307,1287.0,Fayetteville/Springdale/Rogers
XWA,Williston Basin International Airport,48.258,-103.749,2344.0,Williston
YAK,Yakutat Airport,59.503,-139.66,33.0,Yakutat
YKM,Yakima Air Terminal McAllister Field,46.568,-120.544,1099.0,Yakima
YNG,Youngstown Warren Regional Airport,41.261,-80.679,1192.0,Youngstown/Warren
YUM,Yuma MCAS/Yuma International Airport,32.657,-114.606,213.0,Yuma
